time,accx,accy,accz,gyrx,gyry,gyrz
12:39:06.309,0.01,-0.05,-0.98,1.56,0.11,1.03
12:39:06.315,0.01,-0.05,-0.98,1.56,0.11,1.03
12:39:06.319,0.01,-0.05,-0.98,1.39,0.11,1.03
12:39:06.322,0.01,-0.05,-0.98,1.39,-0.07,1.03
12:39:06.325,0.01,-0.05,-0.98,1.39,-0.07,1.26
12:39:07.294,0.01,-0.05,-0.98,1.39,-0.07,1.26
12:39:07.338,0.01,-0.05,-0.98,1.39,-0.07,1.26
12:39:07.345,0.01,-0.05,-0.98,1.39,-0.07,1.26
12:39:07.353,0.01,-0.05,-0.98,1.58,-0.07,1.26
12:39:07.356,0.01,-0.05,-0.98,1.58,-0.29,1.26
12:39:07.359,0.01,-0.05,-0.98,1.58,-0.29,1.40
12:39:08.332,0.01,-0.05,-0.98,1.58,-0.29,1.40
12:39:08.380,0.01,-0.05,-0.98,1.58,-0.29,1.40
12:39:08.383,0.01,-0.05,-0.98,1.58,-0.29,1.40
12:39:08.388,0.01,-0.05,-0.98,1.47,-0.29,1.40
12:39:08.394,0.01,-0.05,-0.98,1.47,0.18,1.40
12:39:08.401,0.01,-0.05,-0.98,1.47,0.18,1.14
12:39:09.362,0.02,-0.05,-0.98,1.47,0.18,1.14
12:39:09.403,0.02,-0.06,-0.98,1.47,0.18,1.14
12:39:09.409,0.02,-0.06,-0.98,1.47,0.18,1.14
12:39:09.417,0.02,-0.06,-0.98,1.39,0.18,1.14
12:39:09.420,0.02,-0.06,-0.98,1.39,-0.10,1.14
12:39:09.424,0.02,-0.06,-0.98,1.39,-0.10,1.17
12:39:10.392,0.02,-0.06,-0.98,1.39,-0.10,1.17
12:39:10.439,0.02,-0.06,-0.98,1.39,-0.10,1.17
12:39:10.447,0.02,-0.06,-0.97,1.39,-0.10,1.17
12:39:10.450,0.02,-0.06,-0.97,1.65,-0.10,1.17
12:39:10.453,0.02,-0.06,-0.97,1.65,-0.06,1.17
12:39:10.457,0.02,-0.06,-0.97,1.65,-0.06,1.18
12:39:11.460,0.02,-0.06,-0.97,1.65,-0.06,1.18
12:39:11.509,0.02,-0.05,-0.97,1.65,-0.06,1.18
12:39:11.515,0.02,-0.05,-0.98,1.65,-0.06,1.18
12:39:11.519,0.02,-0.05,-0.98,1.46,-0.06,1.18
12:39:11.522,0.02,-0.05,-0.98,1.46,-0.05,1.18
12:39:11.525,0.02,-0.05,-0.98,1.46,-0.05,1.18
12:39:12.464,0.02,-0.05,-0.98,1.46,-0.05,1.18
12:39:12.509,0.02,-0.06,-0.98,1.46,-0.05,1.18
12:39:12.516,0.02,-0.06,-0.98,1.46,-0.05,1.18
12:39:12.519,0.02,-0.06,-0.98,1.41,-0.05,1.18
12:39:12.522,0.02,-0.06,-0.98,1.41,-0.18,1.18
12:39:12.525,0.02,-0.06,-0.98,1.41,-0.18,1.11
12:39:13.496,0.01,-0.06,-0.98,1.41,-0.18,1.11
12:39:13.545,0.01,-0.06,-0.98,1.41,-0.18,1.11
12:39:13.549,0.01,-0.06,-0.97,1.41,-0.18,1.11
12:39:13.552,0.01,-0.06,-0.97,1.44,-0.18,1.11
12:39:13.556,0.01,-0.06,-0.97,1.44,-0.11,1.11
12:39:13.560,0.01,-0.06,-0.97,1.44,-0.11,1.31
12:39:14.525,0.01,-0.06,-0.97,1.44,-0.11,1.31
12:39:14.533,0.01,-0.05,-0.97,1.44,-0.11,1.31
